task,model,source,lang,lpr,wpr
monolingual,gpt-4-turbo,native_prompts,all,0.99,0.99
monolingual,gpt-4-turbo,okapi,all,0.99,1.0
monolingual,gpt-4-turbo,all,ar,0.99,1.0
monolingual,gpt-4-turbo,all,en,1.0,
monolingual,gpt-4-turbo,all,pt,0.98,
monolingual,gpt-4-turbo,all,tr,1.0,
monolingual,gpt-4-turbo,all,zh,0.99,0.99
monolingual,gpt-4-turbo,all,es,0.99,
monolingual,gpt-4-turbo,all,fr,0.99,
monolingual,gpt-4-turbo,all,hi,1.0,1.0
monolingual,gpt-4-turbo,all,ru,1.0,1.0
monolingual,gpt-4-turbo,all,ja,1.0,1.0
monolingual,gpt-4-turbo,all,ko,1.0,0.99
monolingual,gpt-4-turbo,all,de,1.0,
monolingual,gpt-4-turbo,all,id,0.96,
monolingual,gpt-4-turbo,all,it,0.99,
monolingual,gpt-4-turbo,all,vi,1.0,
monolingual,gpt-4-turbo,all,all,0.99,1.0
crosslingual,llama-2-instruct,complex_prompts,ar,0.12,0.82
crosslingual,llama-2-instruct,complex_prompts,de,0.37,
crosslingual,llama-2-instruct,complex_prompts,es,0.57,
crosslingual,llama-2-instruct,complex_prompts,fr,0.47,
crosslingual,llama-2-instruct,complex_prompts,hi,0.14,0.85
crosslingual,llama-2-instruct,complex_prompts,id,0.22,
crosslingual,llama-2-instruct,complex_prompts,it,0.39,
crosslingual,llama-2-instruct,complex_prompts,ja,0.16,0.73
crosslingual,llama-2-instruct,complex_prompts,ko,0.053,1.0
crosslingual,llama-2-instruct,complex_prompts,pt,0.55,
crosslingual,llama-2-instruct,complex_prompts,ru,0.3,0.82
crosslingual,llama-2-instruct,complex_prompts,tr,0.15,
crosslingual,llama-2-instruct,complex_prompts,vi,0.062,
crosslingual,llama-2-instruct,complex_prompts,zh,0.052,0.8
crosslingual,llama-2-instruct,okapi,ar,0.12,1.0
crosslingual,llama-2-instruct,okapi,de,0.54,
crosslingual,llama-2-instruct,okapi,es,0.91,
crosslingual,llama-2-instruct,okapi,fr,0.79,
crosslingual,llama-2-instruct,okapi,hi,0.19,0.84
crosslingual,llama-2-instruct,okapi,id,0.58,
crosslingual,llama-2-instruct,okapi,it,0.76,
crosslingual,llama-2-instruct,okapi,ja,0.13,1.0
crosslingual,llama-2-instruct,okapi,ko,0.04,1.0
crosslingual,llama-2-instruct,okapi,pt,0.84,
crosslingual,llama-2-instruct,okapi,ru,0.43,0.86
crosslingual,llama-2-instruct,okapi,tr,0.29,
crosslingual,llama-2-instruct,okapi,vi,0.36,
crosslingual,llama-2-instruct,okapi,zh,0.1,0.7
crosslingual,llama-2-instruct,sharegpt,ar,0.13,0.92
crosslingual,llama-2-instruct,sharegpt,de,0.66,
crosslingual,llama-2-instruct,sharegpt,es,0.84,
crosslingual,llama-2-instruct,sharegpt,fr,0.87,
crosslingual,llama-2-instruct,sharegpt,hi,0.31,0.87
crosslingual,llama-2-instruct,sharegpt,id,0.58,
crosslingual,llama-2-instruct,sharegpt,it,0.84,
crosslingual,llama-2-instruct,sharegpt,ja,0.2,0.8
crosslingual,llama-2-instruct,sharegpt,ko,0.05,0.6
crosslingual,llama-2-instruct,sharegpt,pt,0.89,
crosslingual,llama-2-instruct,sharegpt,ru,0.42,0.76
crosslingual,llama-2-instruct,sharegpt,tr,0.28,
crosslingual,llama-2-instruct,sharegpt,vi,0.19,
crosslingual,llama-2-instruct,sharegpt,zh,0.18,0.78
crosslingual,llama-2-instruct,complex_prompts,all,0.26,0.84
crosslingual,llama-2-instruct,okapi,all,0.43,0.9
crosslingual,llama-2-instruct,sharegpt,all,0.46,0.79
crosslingual,llama-2-instruct,all,ar,0.12,0.91
crosslingual,llama-2-instruct,all,de,0.52,
crosslingual,llama-2-instruct,all,es,0.77,
crosslingual,llama-2-instruct,all,fr,0.71,
crosslingual,llama-2-instruct,all,hi,0.21,0.85
crosslingual,llama-2-instruct,all,id,0.46,
crosslingual,llama-2-instruct,all,it,0.66,
crosslingual,llama-2-instruct,all,ja,0.16,0.84
crosslingual,llama-2-instruct,all,ko,0.048,0.87
crosslingual,llama-2-instruct,all,pt,0.76,
crosslingual,llama-2-instruct,all,ru,0.38,0.81
crosslingual,llama-2-instruct,all,tr,0.24,
crosslingual,llama-2-instruct,all,vi,0.2,
crosslingual,llama-2-instruct,all,zh,0.11,0.76
crosslingual,llama-2-instruct,all,all,0.38,0.84
monolingual,llama-2-instruct,aya_human_annotated,ar,0.01,1.0
monolingual,llama-2-instruct,aya_human_annotated,en,0.99,
monolingual,llama-2-instruct,aya_human_annotated,pt,0.97,
monolingual,llama-2-instruct,aya_human_annotated,tr,0.33,
monolingual,llama-2-instruct,aya_human_annotated,zh,0.18,0.89
monolingual,llama-2-instruct,dolly_human_edited,ar,0.0,1.0
monolingual,llama-2-instruct,dolly_human_edited,es,0.99,
monolingual,llama-2-instruct,dolly_human_edited,fr,0.87,
monolingual,llama-2-instruct,dolly_human_edited,hi,0.01,1.0
monolingual,llama-2-instruct,dolly_human_edited,ru,0.89,0.93
monolingual,llama-2-instruct,native_prompts,es,0.96,
monolingual,llama-2-instruct,native_prompts,fr,0.93,
monolingual,llama-2-instruct,native_prompts,ja,0.07,1.0
monolingual,llama-2-instruct,native_prompts,ko,0.0,1.0
monolingual,llama-2-instruct,okapi,ar,0.0,1.0
monolingual,llama-2-instruct,okapi,de,0.59,
monolingual,llama-2-instruct,okapi,en,0.99,
monolingual,llama-2-instruct,okapi,es,0.92,
monolingual,llama-2-instruct,okapi,fr,0.83,
monolingual,llama-2-instruct,okapi,id,0.62,
monolingual,llama-2-instruct,okapi,it,0.72,
